ticker,date,close_prev,close,ret,s,fuente,factor_implicito
RMED,2022-10-03,0.1198,6.63,0.106844,50.000033484185316,crsp,0.02
RVSN,2023-11-15,0.235,2.09,0.111702,8.000000918660392,crsp,0.125
RVSN,2026-01-02,0.324,305.1000061035156,0.0462962953272627,900.0000188380111,yahoo,0.001
SBFM,2024-04-17,0.068,3.8,-0.441177,100.00009473693184,crsp,0.01
SBFM,2024-08-08,0.1526,2.9714,-0.026409,20.00000180386366,crsp,0.05
SCWO,2025-12-26,0.2301,2.36,0.025641,10.000000250000006,crsp_v2,0.1
SENS,2025-10-20,0.408,8.47,0.03799,20.00000377804086,crsp_v2,0.05
SFT,2023-03-08,0.1762,1.53,-0.131668,9.999993568631586,crsp,0.1
SHIP,2020-06-30,0.1576,2.14,-0.151332,15.99999081271556,crsp,0.063
SHIP,2023-02-16,0.5346,5.35,0.000748,10.00000222803788,crsp,0.1
SHOP,2022-06-29,350.26001,33.05,-0.056415,0.0999999723038352,crsp,10.0
SHOT,2025-12-11,0.116,3.22,-0.206897,35.00001978261988,crsp_v2,0.029
SIRI,2024-09-10,2.67,27.38,0.025468,10.000001607012676,crsp,0.1
SKLZ,2023-06-26,0.471,8.41,-0.107218,19.999984684910658,crsp,0.05
SKM,2021-11-30,29.83,46.0,-0.063403,1.6464623950954382,crsp,0.607
SKM,2021-12-27,48.42,28.94,-0.004173,0.6001915053890807,crsp,1.666
SMCI,2024-10-01,416.39999,40.55,-0.026177,0.10000002775296207,crsp,10.0
SMFL,2023-04-24,0.097,4.45,-0.082475,50.000042134866966,crsp,0.02
SMFL,2023-08-02,0.67,2.09,0.039801,2.9999999856459327,crsp,0.333
SMFL,2023-10-27,0.7234,1.89,-0.129113,3.0000016390485142,crsp,0.333
SMFL,2024-04-22,0.481,4.35,0.291951,7.000001581839437,crsp,0.143
SMX,2023-08-21,0.1056,1.93,-0.16925,22.000018238357086,crsp,0.045
SMX,2024-07-15,0.0904,5.9495,-0.122493,75.0000320195111,crsp,0.013
SMX,2025-01-15,0.1972,5.51,-0.019608,28.50000456000073,crsp_v2,0.035
SMX,2025-06-16,0.923001,3.6,-0.048702,4.099998950261552,crsp_v2,0.244
SMX,2025-08-07,0.75019,4.88,-0.070712,7.000002936214346,crsp_v2,0.143
SMX,2025-10-23,0.866,7.59,-0.195892,10.899573415683673,crsp_v2,0.092
SMX,2025-11-18,1.05,5.28,-0.371429,8.000005454549173,crsp_v2,0.125
SMX,2026-01-02,16.35,231.6372833251953,0.2629969937994878,11.217301394961297,yahoo,0.089
SNDL,2022-07-26,0.2974,2.28,-0.233356,10.000003263158959,crsp,0.1
SOBR,2024-10-02,0.067,6.3999,-0.131629,110.000098486002,crsp,0.009
SOBR,2025-04-04,0.3471,4.93,0.42034,9.999999716024348,crsp_v2,0.1
SOS,2022-07-06,0.169,8.31,-0.016569,50.00004843566666,crsp,0.02
SOS,2024-11-19,0.7001,9.13,-0.1306,14.99999326396798,crsp,0.067
SPCE,2024-06-17,0.6849,11.7,-0.145861,20.000006800002314,crsp,0.05
SPIR,2023-08-31,0.565,5.26,0.163717,7.999998722433664,crsp,0.125
SST,2025-06-12,0.3802,4.16,0.094161,9.99999970673078,crsp_v2,0.1
STZ,2022-11-11,310.0,247.0,0.012171,0.787193264328248,crsp,1.27
SUNE,2025-04-21,0.02,2.79,-0.3025,200.0,crsp_v2,0.005
SWBI,2020-08-25,20.91,17.265,0.038259,0.7952558004400047,crsp,1.257
SWI,2021-07-20,16.92,10.2,-0.027778,0.6200609320017691,crsp,1.613
SWI,2021-08-02,11.24,22.07,-0.018238,1.99999911554185,crsp,0.5
SXTP,2024-08-12,0.0933,1.62,0.446945,12.000002800000656,crsp,0.083
SXTP,2025-02-24,0.45,2.12,-0.057778,5.000001179245562,crsp_v2,0.2
SXTP,2026-01-02,0.5083,2.063999891281128,0.0157479455757987,3.997639317036894,yahoo,0.25
T,2022-04-11,24.14,19.63,0.061504,0.7660575528557388,crsp,1.305
TBLT,2020-04-15,0.1497,1.43,-0.044756,9.999998125874479,crsp,0.1
TBLT,2022-04-25,0.1762,14.57,-0.448728,149.9987753016946,crsp,0.007
TBLT,2024-01-02,0.1575,8.69,-0.15116,65.00000373993116,crsp,0.015
TLRY,2025-12-02,0.7824,7.71,-0.014571,10.000004544749148,crsp_v2,0.1
TNXP,2022-05-17,0.0904,2.21,-0.236034,31.999987767606484,crsp,0.031
TNXP,2023-05-10,0.3515,1.92,-0.126032,6.25000504557699,crsp,0.16
TNXP,2024-06-10,0.1041,2.21,-0.336575,31.99998030770443,crsp,0.031
TNXP,2025-02-05,0.1521,14.98,-0.015122,100.00003751670297,crsp_v2,0.01
TPET,2024-11-15,0.0972,1.5811,-0.186677,20.000001113149136,crsp,0.05
TRKA,2023-06-01,0.1221,3.8,0.244882,24.999984835535514,crsp,0.04
TRVG,2023-11-14,1.07,0.638,0.124535,0.5302295457615731,crsp,1.886
TRVG,2023-11-17,0.6021,2.81,-0.0666,4.9999987544487094,crsp,0.2
TRVN,2022-11-10,0.1221,2.47,-0.190827,24.999994104252405,crsp,0.04
