escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
volumen: compra degradada en bajo,12,1.1267214872291376,0.8714570149014819,1.4567572330889513,0.77782978834668,2.2902991660826584
volumen: compra degradada en bajo,13,1.1154377895251932,0.8592200413355018,1.4480591727899685,0.776604266585241,2.359819427667469
volumen: compra degradada en bajo,14,1.4418966710011623,1.101073763466011,1.888216828725129,0.8476250439998678,2.4567966209928604
volumen: compra degradada en bajo,15,1.3673760137967617,1.048578260933855,1.7830973926939582,0.8074424995781062,2.2711976282694275
volumen: compra degradada en bajo,16,1.1072197608287568,0.8550284042582794,1.4337951729605578,0.8173385674798408,2.2728340938507574
volumen: compra degradada en bajo,17,1.051835251961425,0.8206334691390508,1.3481748416006776,0.762422137484866,2.1170512913724235
volumen: compra degradada en bajo,18,1.2411645196927878,0.9525404007929391,1.617243073009663,0.7919441589941209,2.3993719606289394
volumen: compra degradada en bajo,19,1.2667497327863968,0.9688879419616137,1.6561821197460855,0.8004021678384616,2.2969363251557313
volumen: compra degradada en bajo,20,1.2887657069561334,0.992756796353563,1.6730351819567084,0.8141838068414752,2.209262873953532
fase: venta degradada en temprana,1,1.113812368738957,0.8152635576007478,1.5216894968380572,0.794944823251914,2.222597751130942
fase: venta degradada en temprana,2,1.0048695161537389,0.7449084135098888,1.3555528789602596,0.7384456388307913,1.976964296919941
fase: venta degradada en temprana,3,0.9320050348431683,0.6977705614150751,1.2448696362475242,0.7365974475923341,1.9899529995465388
fase: venta degradada en temprana,4,0.8433124673118491,0.6333731893937508,1.1228386825219403,0.7165751925211928,2.057064159151353
fase: venta degradada en temprana,5,0.9421918251140239,0.7012423922986067,1.265932358141975,0.7836454201155951,2.0811200871664597
fase: venta degradada en temprana,6,0.9292836046634223,0.6954989563788195,1.2416524999440568,0.6988204503816041,2.0728833982066055
fase: venta degradada en temprana,7,0.6975251809684881,0.5329829164901705,0.9128648649550012,0.6546528548203767,1.9579208974721785
