covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),modelo
tasa_r3_z,-0.0036643368745098446,0.996342368614964,0.021983460189268663,-0.0467511271010465,0.039422453352026814,0.9543248736363148,1.0402098309716548,0.0,-0.16668608321717293,0.8676170563186771,0.2048696799310056,celda_R3 reproducida: + tasa global
b_duro_lag,-0.17054119480551427,0.8432083531090219,0.04320290076675937,-0.2552173243360205,-0.08586506527500803,0.7747481080459662,0.917718054899264,0.0,-3.947447781949168,7.898873886025318e-05,13.627993486318047,celda_R3 reproducida: + tasa + D x tasa
d_duro_lag,0.4687241101987343,1.5979540787015596,0.13585438510278078,0.20245440825544908,0.7349938121420194,1.2244042611230677,2.0854690878785633,0.0,3.450194926311142,0.0005601819130239348,10.801816976665283,celda_R3 reproducida: + tasa + D x tasa
sin_direccion_lag,0.6419913113512218,1.900261125781989,0.08686532556803078,0.4717384017325351,0.8122442209699084,1.6027780449201312,2.252958453981177,0.0,7.390651069953454,1.4611158701657968e-13,42.63799464150991,celda_R3 reproducida: + tasa + D x tasa
log1p_n_lag,0.4434380364527698,1.55805466962771,0.02053590399114862,0.4031884042401461,0.4836876686653935,1.4965888287847724,1.622044951063724,0.0,21.593304908510497,2.0762184454648824e-103,341.10463553123947,celda_R3 reproducida: + tasa + D x tasa
log_z_inicio,0.31162417329111247,1.36564135207703,0.03774970347768671,0.2376361140477801,0.3856122325344449,1.2682476113587886,1.470514342624829,0.0,8.25500983008539,1.5188973824047796e-16,52.54782511438588,celda_R3 reproducida: + tasa + D x tasa
log_base_previa,-0.3158485349934713,0.7291698855253382,0.02470123094222572,-0.3642620580140401,-0.26743501197290254,0.694709116794977,0.765340066947685,0.0,-12.786752843703084,1.94429197856711e-37,121.95209462295854,celda_R3 reproducida: + tasa + D x tasa
log_amplitud,-0.30019723647828833,0.7406721187136113,0.027926592104561943,-0.3549323512141704,-0.24546212174240628,0.7012208783451082,0.7823429170198167,0.0,-10.749511983212935,5.957598421018259e-27,87.1173276816629,celda_R3 reproducida: + tasa + D x tasa
log_vol_ratio,-0.02722615000215856,0.9731411407662965,0.023334264298377084,-0.07296046763271644,0.01850816762839932,0.9296375800736358,1.0186805053394221,0.0,-1.16678844698147,0.24329581371670078,2.0392165982119863,celda_R3 reproducida: + tasa + D x tasa
ret_encendido_pico,-0.0012673163171594655,0.9987334863890344,0.0021508073687818144,-0.00548282129765518,0.002948188663336249,0.9945321819344985,1.0029525388455356,0.0,-0.5892281826601955,0.555708214008648,0.8476005297438928,celda_R3 reproducida: + tasa + D x tasa
