fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-10-04,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0,494,12,545,0,133,0,4,7,67,18,0,15,273,51,3,0,5,1,3
2023-10-05,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,342,44,425,0,280,0,3,9,30,28,0,8,56,112,0,0,3,0,5
2023-10-06,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,313,47,520,0,222,0,0,9,39,39,0,2,18,64,1,1,4,0,2
2023-10-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,279,19,159,0,56,0,4,16,14,3,0,12,16,22,1,1,2,0,0
2023-10-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,282,18,60,0,84,0,3,7,31,20,0,15,14,38,0,0,2,2,0
2023-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,478,19,211,0,140,0,0,82,45,13,0,12,11,67,1,1,6,0,5
2023-10-10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,496,43,380,0,104,0,2,97,54,24,0,5,63,96,12,2,9,0,7
2023-10-11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,105,0,311,37,195,0,161,0,0,46,111,22,0,7,48,54,2,0,3,0,8
2023-10-12,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,189,0,351,56,246,0,230,0,0,32,125,31,0,6,23,42,6,0,2,0,14
2023-10-13,0,0,1,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,88,0,285,91,199,0,165,0,0,9,96,9,0,9,134,55,4,1,2,0,4
